apj_id,name_en,name_jp,prefecture,url
M100001,Kanda Nissho Memorial Museum of Art,神田日勝記念美術館,Hokkaido,https://artplatform.go.jp/museums/M100001
M100003,Kushiro City Museum of Art,釧路市立美術館,Hokkaido,https://artplatform.go.jp/museums/M100003
M100004,Sapporo Art Museum,札幌芸術の森美術館,Hokkaido,https://artplatform.go.jp/museums/M100004
M100005,Otaru City Museum of Art,市立小樽美術館,Hokkaido,https://artplatform.go.jp/museums/M100005
M100006,Asahikawa Museum of Sculpture in Honor of Teijiro Nakahara,中原悌二郎記念旭川市彫刻美術館,Hokkaido,https://artplatform.go.jp/museums/M100006
M100011,"Kushiro Art Museum,Hokkaido",北海道立釧路芸術館,Hokkaido,https://artplatform.go.jp/museums/M100011
M100012,"Hakodate Museum of Art, Hokkaido",北海道立函館美術館,Hokkaido,https://artplatform.go.jp/museums/M100012
M100013,"Hongo Shin Memorial Museum of Sculpture, Sapporo",本郷新記念札幌彫刻美術館,Hokkaido,https://artplatform.go.jp/museums/M100013
M100674,Kan Yasuda Sculpture Museum – Arte Piazza Biai,安田侃彫刻美術館 アルテピアッツァ美唄,Hokkaido,https://artplatform.go.jp/museums/M100674
M100018,Towada Art Center,十和田市現代美術館,Miyagi,https://artplatform.go.jp/museums/M100018
M100019,Hachinohe Art Museum,八戸市美術館,Miyagi,https://artplatform.go.jp/museums/M100019
M100656,Hirosaki Museum of Contemporary Art,弘前れんが倉庫美術館,Miyagi,https://artplatform.go.jp/museums/M100656
M100021,Ichinoseki City Museum,一関市博物館,Miyagi,https://artplatform.go.jp/museums/M100021
M100025,Yorozu Tetsugoro Museum,萬鉄五郎記念美術館,Iwate,https://artplatform.go.jp/museums/M100025
M100029,Ishinomaki City Museum,石巻市博物館,Iwate,https://artplatform.go.jp/museums/M100029
M100032,Rias Ark Museum of Art,リアス・アーク美術館,Miyagi,https://artplatform.go.jp/museums/M100032
M100037,Tendo City Museum of Art,天童市美術館,Akita,https://artplatform.go.jp/museums/M100037
M100041,Iwaki City Art Museum,いわき市立美術館,Yamagata,https://artplatform.go.jp/museums/M100041
M100042,Koriyama City Museum of Art,郡山市立美術館,Yamagata,https://artplatform.go.jp/museums/M100042
M100044,Morohashi Museum of Modern Art,諸橋近代美術館,Fukushima,https://artplatform.go.jp/museums/M100044
M100609,Kitakata City Museum of Art,喜多方市美術館,Fukushima,https://artplatform.go.jp/museums/M100609
M100610,Center for Contemporary Graphic Art（DNP Foundation for Cultural Promotion）,CCGA現代グラフィックアートセンター（公益財団法人DNP文化振興財団）,Fukushima,https://artplatform.go.jp/museums/M100610
M100045,"The Museum of Modern Art, Ibaraki",茨城県近代美術館,Tokyo,https://artplatform.go.jp/museums/M100045
M100047,"Tenshin Memorial Museum of Art, Ibaraki",茨城県天心記念五浦美術館,Ibaraki,https://artplatform.go.jp/museums/M100047
M100050,Shimodate Museum of Art,しもだて美術館,Ibaraki,https://artplatform.go.jp/museums/M100050
M100053,Art Tower Mito,水戸芸術館,Ibaraki,https://artplatform.go.jp/museums/M100053
M100054,Ashikaga Museum of Art,足利市立美術館,Ibaraki,https://artplatform.go.jp/museums/M100054
M100055,Utsunomiya Museum of Art,宇都宮美術館,Ibaraki,https://artplatform.go.jp/museums/M100055
M100057,Kanuma Municipal Art Museum of Kawakami Sumio,鹿沼市立川上澄生美術館,Ibaraki,https://artplatform.go.jp/museums/M100057
M100058,"Yoshizawa Memorial Museum of Art, Sano",佐野市立吉澤記念美術館,Ibaraki,https://artplatform.go.jp/museums/M100058
M100503,"Kosugi Hoan Museum of Art, Nikko",小杉放菴記念日光美術館,Tochigi,https://artplatform.go.jp/museums/M100503
M100611,Seiji Fujishiro Museum,藤城清治美術館 那須高原,Tochigi,https://artplatform.go.jp/museums/M100611
M100062,Okawa Museum of Art,大川美術館,Tochigi,https://artplatform.go.jp/museums/M100062
M100063,"The Museum of Modern Art, Gunma",群馬県立近代美術館,Tochigi,https://artplatform.go.jp/museums/M100063
M100065,Takasaki Museum of Art,高崎市美術館,Gunma,https://artplatform.go.jp/museums/M100065
M100501,Arts Maebashi,アーツ前橋,Gunma,https://artplatform.go.jp/museums/M100501
M100511,Takasaki Tower Museum of Art,高崎市タワー美術館,Gunma,https://artplatform.go.jp/museums/M100511
M100612,"Art Museum & Library, Ota",太田市美術館・図書館,Gunma,https://artplatform.go.jp/museums/M100612
M100613,Tomioka City Museum / Fukuzawa Ichiro Memorial Gallery,富岡市立美術博物館・福沢一郎記念美術館,Gunma,https://artplatform.go.jp/museums/M100613
M100068,Kawagoe City Art Museum,川越市立美術館,Gunma,https://artplatform.go.jp/museums/M100068
